Gene	Phase
E2f5	M
Cdc25b	M
Spag5	M
Ahi1	M
Ctnnd1	M
Tacc3	M
Ppp1r10	M
Pcf11	M
Akirin2	M
Usp16	M
Ccdc90b	M
Srsf3	M
Cks2	M
Kif14	M
Rnf126	M
Ywhah	M
Gm28635	M
Zc3hc1	M
Hps4	M
Rrp1	M
Prpsap1	M
Hspa13	M
Prr11	M
Mki67	M
Mcm4	M
Lmna	M
Arl6ip1	M
Klf9	M
Rad51c	M
Birc2	M
Hspa8	M
Shcbp1	M
Ccdc88a	M
Sptbn1	M
Vangl1	M
Tmem138	M
Arhgap19	M
Got1	M
Cdca3	M
Rbm8a	M
Ankrd40	M
Trip13	M
Sephs1	M
Nusap1	M
Rere	M
Kif5b	M
Gadd45a	M
Depdc1b	M
Ckap5	M
Pwp1	M
Nup35	M
Tsg101	M
Ect2	M
Dr1	M
Cit	M
Cks1b	M
Cflar	M
Fyn	M
Dzip3	M
Cenpe	M
Ube2d3	M
Ckap2	M
Nup98	M
Diaph3	M
Gas2l3	M
Lbr	M
Birc5	M
Plk1	M
Psmg3	M
Cks1brt	M
Mis18bp1	M
Hmgb3	M
Tpx2	M
Aurka	M
Pom121	M
Cdc42ep1	M
Depdc1a	M
Kif2c	M
Smarcd1	M
Gtse1	M
Cdc20	M
Hs2st1	M
Hcfc1	M
Ncapd2	M
Cep55	M
G2e3	M
Pbk	M
Nek2	M
Ptp4a1	M
Bub1	M
Rcan1	M
Tsn	M
Poc1a	M
Rnf141	M
Anp32e	M
Hmg20b	M
Cdc27	M
Anln	M
Ptpn9	M
Thrap3	M
Smarcb1	M
Ccna2	M
Ss18	M
Atf7ip	M
Dnajb1	M
Ctnna1	M
Cenpa	M
Cntrob	M
Rbm8a2	M
Nuf2	M
Hmmr	M
Dlgap5	M
Cenpf	M
Rnps1	M
Usp13	M
Foxm1	M
Wsb1	M
Kif20b	M
Mdc1	M
Tomm34	M
Tnpo1	M
Grk6	M
Rangap1	M
Qrich1	M
Cadm1	M
Anp32b	M
Ncoa5	M
Zfp207	M
Asxl1	M
Ttk	M
Txnrd1	M
Odf2	M
Srf	M
Tubb4b	M
Tle3	M
Mzt1	M
Ccnb2	M
Ctcf	M
Sfpq	M
Cnot10	M
Zmym1	M
Nfic	M/G1
Zcchc10	M/G1
Gtf3c4	M/G1
Fam189b	M/G1
Pcf11	M/G1
Kras	M/G1
Ilf2	M/G1
Srsf3	M/G1
Nup37	M/G1
Fopnl	M/G1
Ppp6r3	M/G1
Rheb	M/G1
Zfp24	M/G1
Hsd17b11	M/G1
Zfp281	M/G1
Agpat3	M/G1
Mrpl19	M/G1
Pttg1	M/G1
Mtpn	M/G1
Tulp4	M/G1
Gm12666	M/G1
Amd1	M/G1
Amd2	M/G1
Vcl	M/G1
Cdk7	M/G1
Fxr1	M/G1
Taf9	M/G1
Ak6	M/G1
Dnajb6	M/G1
Bag3	M/G1
Hspa8	M/G1
Zbtb7a	M/G1
Vangl1	M/G1
Troap	M/G1
Pak1ip1	M/G1
Agfg1	M/G1
Hif1a	M/G1
BC048507	M/G1
Tmem138	M/G1
Kdm5b	M/G1
Nucks1	M/G1
Ctr9	M/G1
Jmjd1c	M/G1
Kif5b	M/G1
Nufip2	M/G1
G3bp1	M/G1
Msl1	M/G1
Lyar	M/G1
Dcp1a	M/G1
Cdkn3	M/G1
Eif4e	M/G1
Dctn6	M/G1
Anp32e	M/G1
Hmg20b	M/G1
Opn3	M/G1
Dynll1	M/G1
Dkc1	M/G1
Larp7	M/G1
Cnih4	M/G1
Gspt1	M/G1
Wipf2	M/G1
Kpnb1	M/G1
Psen1	M/G1
Tsc22d1	M/G1
Cdc42	M/G1
Gata2	M/G1
Mrps2	M/G1
Lrif1	M/G1
Tcerg1	M/G1
Dsp	M/G1
Top1	M/G1
Elp3	M/G1
Ppp2ca	M/G1
Prc1	M/G1
Odf2	M/G1
Wwc1	M/G1
Snupn	M/G1
Mrps18b	M/G1
Ran	M/G1
Akap13	M/G1
Cwc15	M/G1
Ube2d3	M/G1
Rad21	M/G1
Morf4l2	M/G1
Zfp593	M/G1
Rpl13a	M/G1
Gm45713	M/G1
Grpel1	M/G1
Hmgcr	M/G1
Foxk2	M/G1
Btbd3	M/G1
Plin3	M/G1
Cep70	M/G1
Yy1	M/G1
Nfia	M/G1
Larp1	M/G1
Pbk	M/G1
Stag1	M/G1
Antxr1	M/G1
2700049A03Rik	M/G1
Slc39a10	M/G1
Tob2	M/G1
Gnb1	M/G1
Dexi	M/G1
Tle3	M/G1
Ncoa3	M/G1
Syncrip	M/G1
Ppp2r2a	M/G1
